Date,Minimum_temp,Maximum_temp,Rainfall ,Evaporation,Max_wind_gust,Temp_9am,Humidity_9am,9am_cloud,9am_wind_dir,9am_wind_spd,9am_pressure,Temp_3pm,Humidity_3pm,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_pressure
15/2/20,23.6,28,0.8,3.2,52,24.8,85,,NE,26,1012.4,25.2,79,,NE,24,1011.2
16/2/20,23.3,27.5,0,4.6,37,25,76,,NE,28,1014.3,26.6,69,,ENE,26,1013.3
17/2/20,21.8,27.5,0,5.8,37,25.4,67,,NE,22,1014.7,25.1,69,,E,20,1013.6
18/2/20,20.5,27.1,,,35,24.1,77,,E,24,1014,25,67,,E,24,1011.9
19/2/20,,27.5,7.2,13.2,,24.8,68,,NE,17,1012.7,25.2,65,,E,19,1010.8
20/2/20,20.9,27.2,0,6.4,37,25.1,68,,NE,20,1012.3,24.6,66,,NNE,19,1010.7
21/2/20,22.2,28.3,0,7,33,25.4,68,,N,17,1013.8,26.9,66,,NW,15,1012.7
22/2/20,22.1,27,3,6.4,37,24,88,,NNE,17,1015.7,22.4,92,,W,15,1014.7
23/2/20,21.1,25,13.8,3,50,22.6,85,,ESE,20,1018.5,23.2,74,,ESE,26,1017.8
24/2/20,20.2,25.9,0,6,46,23,51,,SE,24,1020,23.9,54,,ESE,26,1017.7
25/2/20,19.9,25.6,0,9.8,37,24.2,56,,E,19,1018.3,23.1,60,,ESE,17,1016.1
26/2/20,20.3,26.9,0,7,43,23.9,64,,ENE,22,1015.8,23.9,68,,ENE,20,1014.2
27/2/20,21.1,26.4,0,6.2,37,23.8,72,,NE,22,1015.1,25.5,61,,NNE,20,1013.1
28/2/20,20.9,26.6,0,6.6,35,24.2,67,,NE,28,1014.4,25.2,68,,NNE,24,1011.8
29/2/20,23,25.1,0,6.2,43,24,83,,NE,22,1014.4,24.2,82,,NE,28,1012.7
2/3/20,21.8,26.8,9,15.6,80,24.9,90,,NNE,17,1014.9,25.4,89,,NNE,19,1013.4
3/3/20,23,27.2,0,2.6,28,24.9,86,,WNW,2,1013.7,25.1,82,,SSE,19,1012
4/3/20,22.8,26.6,0.2,3.6,37,25.5,77,,SSE,20,1014.3,24.8,76,,SE,20,1012.4
5/3/20,22.2,27.1,1,5.8,30,23.7,93,,SE,17,1014.7,25.5,82,,NE,17,1013.7
6/3/20,20.8,27.7,2.8,4.4,33,24.7,84,,ESE,15,1016.4,25.6,81,,ENE,22,1014
7/3/20,22.8,27.2,1.4,5.4,30,25.5,81,,ENE,20,1015.7,26.1,77,,NNE,15,1013.5
8/3/20,23,27.8,0.2,4.2,30,25.7,79,,N,11,1014.1,26.1,75,,WNW,17,1012.3
9/3/20,22.1,26.9,9.2,5.4,33,25.4,86,,WNW,17,1014.3,25.1,82,,W,13,1012.3
10/3/20,20.9,23.5,10,4.8,37,23.1,78,,SE,19,1014.3,19.4,92,,SE,20,1013.4
11/3/20,18.1,21.9,22.4,6,41,20.1,87,,ESE,20,1015.6,19,92,,ESE,19,1014.7
12/3/20,18.9,22.7,24.6,3.4,52,21.1,83,,E,24,1015.7,21.2,82,,ESE,24,1014.4
13/3/20,18.6,24,8.2,1.4,50,22.4,67,,ESE,28,1013.8,22.6,69,,E,33,1010.9
14/3/20,20.5,25.5,0.4,4.4,52,23.7,71,,E,31,1009.8,24.1,71,,E,30,1007.9
15/3/20,21.7,23.5,0,7.2,63,22.7,79,,E,41,1008.2,21.7,85,,E,31,1005.8
16/3/20,,21.9,43,,,18.7,93,,SE,44,997.8,20.4,92,,SSE,41,998.8
17/3/20,16.6,23.8,20.2,8.2,48,22.4,63,,S,28,1012.5,21.8,76,,SSE,22,1012.7
18/3/20,18.6,23.9,0.2,3.4,35,22.6,67,,ESE,17,1018.8,21.8,73,,SE,20,1018
19/3/20,17.6,23.8,1.2,5.8,37,21.7,66,,E,24,1022.1,22.5,62,,ENE,17,1020.7
20/3/20,15.8,23.6,0,5.8,20,22.1,60,,NE,13,1022,21.7,65,,ENE,9,1020.4
21/3/20,16.6,24.1,0,2.8,31,22.1,61,,NE,13,1021.9,22.3,64,,NE,17,1019.8
22/3/20,16.3,24.2,0,4,26,22.8,63,,NE,9,1020.9,23.9,60,,SW,4,1018.4
23/3/20,17.1,25,0,4.8,44,22.7,68,,WNW,13,1017.2,23.3,70,,WNW,22,1014.5
24/3/20,19.5,23.9,1.4,5.2,41,22,63,,SE,22,1017.4,22.9,58,,SE,20,1016.7
25/3/20,17.1,23.3,1.4,6.4,43,21,60,,ESE,19,1020.6,22.1,54,,ESE,19,1019.4
26/3/20,17.3,23,0,6.6,30,21.9,53,,ESE,15,1021.2,21.6,60,,SE,17,1019.2
27/3/20,17.1,22.9,0,5,30,21.6,63,,ESE,13,1020.7,22.1,60,,SE,19,1019
28/3/20,18.4,22.1,1.2,5.2,46,20.6,77,,SE,17,1020.5,20.6,68,,ESE,20,1019
29/3/20,18.3,23.3,0.6,3.8,41,22.1,46,,E,19,1020.6,21.4,65,,SE,22,1018.2
30/3/20,17.6,22.8,0,6.4,33,20.9,61,,ESE,17,1019.3,21.6,63,,SE,17,1017.3
31/3/20,17.4,22.9,0,5.8,31,21.5,59,,ESE,19,1018.2,21.9,60,,SE,15,1016.7
1/4/20,16.4,23.1,0,4.6,28,21.8,53,,ESE,9,1017.4,21.8,55,,S,13,1015.4
2/4/20,14.8,23.6,0,4,35,22,62,,SE,13,1016.1,22.5,63,,ESE,19,1014.2
3/4/20,18.8,24.3,0.2,5.2,43,21.9,68,,E,26,1016.4,22.3,70,,E,24,1014.8
4/4/20,18.9,24.6,0.8,4.8,52,22.1,75,,E,31,1017.3,22.5,69,,ENE,31,1015.4
5/4/20,20.2,24.3,0,6.4,52,22.4,73,8,ENE,30,1018,23.6,67,8,ENE,31,1016.5
6/4/20,18.8,23.9,1.8,5.8,43,23,73,8,ENE,28,1017,22.5,78,8,NE,24,1014
7/4/20,19.1,23.3,0,5.6,28,22.1,73,8,ENE,19,1013.4,20.2,87,7,SE,9,1011.3
8/4/20,17.7,23.6,1,1.8,31,20.9,81,8,SE,4,1013.4,22.6,72,6,S,17,1012.7
9/4/20,18.8,23,2,4.4,41,20.8,65,8,S,22,1019,21.4,62,6,SSE,28,1018
10/4/20,17.8,22.5,0,6.6,43,20.7,61,7,S,17,1021.3,21.2,65,8,SSE,17,1018.5
11/4/20,16.8,23.1,0,3.8,28,20.7,63,8,NE,9,1017.2,21.8,61,4,NNW,13,1013.7
12/4/20,18.4,23.3,0,4,52,22.1,76,8,N,22,1012,22.3,88,8,NW,20,1008.7
13/4/20,18.8,22.8,5.8,4.4,39,21.2,66,5,SW,24,1016.8,21.8,65,8,SW,20,1016.2
14/4/20,17.8,23,0,4,31,21.8,66,1,SW,13,1022.2,19.8,79,8,SW,11,1020.6
15/4/20,17.1,21.6,0.4,3.6,30,21.1,72,8,SE,13,1022.4,21,65,2,SSW,15,1019.7
16/4/20,17,22.4,1,2.8,33,20.8,63,4,S,11,1020.3,21.1,59,3,SW,11,1017.8
17/4/20,15.7,23.6,0,4.6,30,22.1,63,3,NW,13,1017.8,22,64,7,NW,19,1014.4
18/4/20,19.3,24.5,0.2,4.8,37,23,70,,NW,19,1015.3,21.9,76,7,NW,17,1013.5
19/4/20,20,24.5,0,3.2,31,23,75,2,NNW,15,1016.5,23.1,77,5,N,15,1014.9
20/4/20,20.7,22.8,0,3.8,35,21.9,84,8,NE,17,1016.6,21.7,86,8,N,15,1014.5
21/4/20,19.3,24.1,21.2,0.4,26,22.6,84,6,W,13,1016.7,22.4,81,8,SSE,11,1014.7
22/4/20,18.5,23.5,0.2,2.2,22,21.6,83,8,E,13,1017,22.1,76,8,E,15,1014.8
23/4/20,18.1,23.4,0,2.2,37,21.7,77,8,SW,22,1016.4,22.8,69,1,SW,26,1014.4
24/4/20,19.1,22.5,0,4.2,33,21.3,63,2,SSW,17,1017.1,21.5,66,1,S,17,1015.5
25/4/20,16.9,22.6,0,4.4,35,20.7,65,8,S,17,1019.4,21.1,68,2,SE,19,1018.3
26/4/20,17.2,22.9,0.2,4,33,20.4,72,2,E,20,1021.5,21.1,67,8,E,19,1020
27/4/20,15.7,22.7,0,3.4,31,20.6,58,7,E,11,1022.4,21.8,61,,ESE,17,1020.3
28/4/20,16.7,23.4,0,3.4,43,20.6,63,8,ESE,22,1024.2,20.8,62,3,ESE,20,1022.4
29/4/20,17.8,23.1,0,6,52,22.1,66,8,E,30,1024.8,21.4,74,8,E,30,1022.3
30/4/20,19,24.1,0,3,54,22.2,72,,E,31,1024.4,23.1,67,2,E,31,1021.2
1/5/20,20.1,23.2,0,6.4,56,21.8,76,8,NE,28,1020.8,21.7,75,8,NE,35,1017
2/5/20,21,24,0,5.8,57,22.2,82,8,NNE,28,1014.7,22.2,88,8,NNE,31,1012
3/5/20,18.8,23.6,16.8,1.6,65,21.6,91,8,W,19,1011.6,21.9,74,8,WSW,13,1009.2
4/5/20,19.4,21.8,0,4,46,21.1,57,1,WSW,28,1014.4,20.9,58,8,SW,24,1013.7
5/5/20,16.6,21,0.2,5.2,41,19.4,64,8,S,17,1019,19.8,58,8,SSW,22,1017
6/5/20,17,20.8,0.8,6.4,48,18.8,53,6,SSE,24,1021.6,18.5,65,7,SSE,24,1019.6
7/5/20,16.5,21.8,0.2,5.2,39,19.3,60,,ESE,22,1023.1,19.7,56,1,ESE,20,1020.2
8/5/20,16.4,21.4,0,5,44,18.9,63,5,ESE,20,1022.2,19.8,61,8,ESE,17,1020.4
9/5/20,15.9,21.1,1,3.8,39,19.3,66,8,ESE,19,1022.7,19.9,59,8,SE,17,1020.7
10/5/20,16.1,21.1,0,4,24,20,55,8,ENE,15,1020.8,19.5,59,3,E,15,1017.9
11/5/20,14.8,22.3,0,3.2,30,19.3,67,8,NE,11,1016.5,20,64,6,NNE,15,1012.8
12/5/20,15.6,19.9,8.6,3.4,69,18.9,67,8,SW,26,1010.2,18.6,71,7,SSW,35,1007.9
13/5/20,16.5,21.1,1.2,2.4,67,19.8,78,8,S,30,1010.5,20.3,75,8,SSE,31,1010.9
14/5/20,18.4,22.3,0.6,3.4,,19.4,76,5,ESE,22,1017.4,20.5,75,8,SE,17,1016.3
15/5/20,16.5,21.8,0,4,30,19.9,65,,ESE,15,1018.4,19.7,67,2,SE,17,1016.5
16/5/20,17.3,21.6,0,4,31,19.3,68,8,SSE,19,1020.8,19.5,69,6,SE,17,1019
17/5/20,15.9,20.4,2.2,4.4,30,18.7,61,,SSE,15,1021.2,19.7,58,,S,17,1019.4
18/5/20,16.2,19.9,0,3.4,50,18.8,67,1,S,22,1021.2,19.1,63,,S,19,1018.7
19/5/20,14.4,20.7,5.8,3.2,48,19.3,61,2,SE,26,1023.5,18.9,64,8,ESE,24,1022.1
20/5/20,15,20.8,3.2,6,50,18.7,66,5,ESE,20,1024.6,18.8,63,8,ESE,22,1022
21/5/20,15.8,20.1,0.4,4.4,39,18.9,58,1,ESE,20,1022.8,18.8,62,1,E,22,1019.5
22/5/20,15.2,19.8,0.2,3.8,31,18.3,65,7,ENE,15,1019,18.5,60,2,NE,13,1015.6
23/5/20,16.7,20.8,0.2,2.8,50,19.8,71,8,NNE,22,1016.3,18.6,83,8,NNE,22,1012.3
24/5/20,16.5,21.3,38,1.6,65,20.8,90,7,NNE,33,1009.3,18.4,92,8,WNW,7,1009.5
25/5/20,17.4,20.7,8.6,0.4,59,20.6,88,8,NW,20,1015.2,20.1,92,7,NW,22,1014.3
26/5/20,15.7,20.4,34.2,1.2,56,17.6,88,8,WNW,17,1019.2,17.8,84,8,NNE,13,1016.4
27/5/20,16.7,21.7,0.4,0,30,20.2,82,4,SW,13,1021,20,82,4,W,9,1018.5
28/5/20,15.6,21.9,0,2,22,19.6,84,,NW,6,1021.8,19.9,77,8,N,9,1018.5
29/5/20,17.7,20.9,4.4,1.4,39,18.7,92,8,NW,7,1019.1,19.4,81,8,WSW,13,1016.5
30/5/20,17.2,20.9,0,1.2,43,19.6,83,6,SSE,15,1019.1,18.3,88,8,SE,22,1016.2
31/5/20,15.3,20.1,3.4,2.2,57,17.8,86,8,SSE,24,1016.2,19.1,74,2,S,22,1015.1
1/6/20,16.8,20.5,1.4,2.8,35,19.3,71,3,WSW,13,1019.8,18.8,67,5,SW,17,1018.9
2/6/20,14.1,21.5,0,2.8,41,18.8,67,8,NNE,13,1021.8,20.1,67,5,NNE,19,1018.6
3/6/20,17.5,21,2,2.4,54,20.6,87,8,NW,31,1015.9,20.4,63,,W,33,1013.8
4/6/20,16.4,21.5,0.4,4.4,61,19.7,72,7,W,26,1017.3,18.7,68,8,WSW,31,1015.5
5/6/20,13.9,18.5,0.4,5.5,59,17.3,66,,SW,24,1018.9,17.1,66,7,SW,24,1016.9
6/6/20,14.4,18.6,0.4,3.2,39,17,68,8,S,15,1019.6,17.3,75,4,S,17,1018
7/6/20,12.7,19.2,0.8,2.8,24,17.4,69,,ESE,7,1021.8,18,61,1,SE,11,1020.1
8/6/20,12.8,19.4,0,1.8,31,15.4,78,7,ENE,19,1024.1,18.4,57,,E,15,1021.8
9/6/20,14.2,19.4,1,2.8,50,17.5,77,8,ESE,20,1025.1,17.7,74,8,E,22,1023.2
10/6/20,15.6,18.8,0.6,2.6,46,17.2,53,1,ESE,24,1028.4,17.8,58,,ESE,22,1026.1
11/6/20,14.5,19.7,0,5.2,48,18.3,60,8,E,22,1027.8,18.2,65,6,E,20,1025.3
12/6/20,15.1,20.4,0,3.4,43,19,66,1,ENE,24,1026.3,17.1,85,3,ESE,15,1025.6
13/6/20,15.7,20.3,4.6,4,46,18.8,77,1,E,28,1029.1,18,86,8,E,20,1027.5
14/6/20,16,20.6,1,2.8,54,18.5,68,3,ENE,35,1029.8,19,71,1,ENE,35,1026.8
15/6/20,16.5,20.8,0.8,4,35,19.6,66,,NE,20,1027.3,19.5,82,1,ENE,20,1023.8
16/6/20,17.8,19.8,0,2,41,19.1,87,8,NE,19,1025.2,19.5,78,8,NNE,17,1022.2
17/6/20,16,18.9,13.8,0.8,33,16.9,89,8,NNE,9,1025.5,18.2,87,7,SSE,7,1022.5
18/6/20,15.6,20.2,5,1,52,18.4,85,,SSW,13,1025.2,16.7,92,8,SSE,26,1023.4
19/6/20,13.7,17.1,1.4,3,37,16.3,61,1,SSW,13,1024.8,14.6,83,8,SSE,11,1021.8
20/6/20,13.4,18.4,0.4,2.8,56,15.7,78,8,SW,28,1019.2,16.1,79,8,SW,26,1015.8
21/6/20,14.4,19.1,0.4,4,43,17.6,70,2,S,20,1017.8,17.7,74,1,SSE,19,1016
22/6/20,13.1,19.5,0.8,1.6,22,17.8,70,,NE,13,1019.3,18.6,64,,ENE,13,1016.7
23/6/20,13.1,18.8,1.2,3.4,46,16.1,86,8,NNE,30,1016.6,18.2,77,8,NNE,28,1012.8
24/6/20,15,19.7,18.2,2.4,54,17.9,72,3,WNW,22,1011.8,18.7,64,6,WNW,35,1009.8
25/6/20,15.7,19.2,0.8,4.2,59,18.4,72,5,WNW,26,1012,18.7,68,8,WNW,28,1010.2
26/6/20,15.6,20.4,7.2,3.6,52,16.6,91,8,W,19,1013.2,19.2,70,2,W,24,1011.9
27/6/20,16.5,19.7,0.2,3.2,37,17.7,76,8,WSW,24,1017.1,18.3,74,3,SW,20,1015.8
28/6/20,14.3,18.3,2,3.6,35,17.4,64,8,SSW,11,1020.1,16.5,73,3,SSW,20,1018.4
29/6/20,11.8,18.5,2.8,3.2,46,16.6,68,1,SW,19,1017.8,17,63,,WSW,28,1014.7
