SI_Row,SI_ID,Other_ID,Actual_ID,Replicate,Site_1,Site,Date,C_%,N_%,C_ug,N_ug,C13,N15
A01,1,1,SB2,1,Lagoon,SB,6/12/20,35.4,2.9,2671.4,216.6,-14.3,3.1
A02,2,2,13,1,Lagoon,SB,6/12/20,32.1,2.0,2293.5,139.4,-14.8,2.9
A03,3,3,SB5,1,Lagoon,SB,6/12/20,31.9,2.0,2241.5,138.6,-15.7,2.8
A04,4,4,11,1,Lagoon,SB,6/12/20,37.9,1.7,2781.7,127.5,-15.9,2.8
A05,5,5,SB4,"1,2,3",Lagoon,EB,6/12/20,38.3,3.0,2976.3,233.0,-14.9,2.7
A06,6,6,SB1,"1,2,3",Lagoon,SB,6/12/20,34.4,1.8,2597.6,137.4,-16.3,3.1
A07,7,7,6,1,Lagoon,EB,6/12/20,35.3,2.9,2583.8,208.7,-15.5,2.1
A08,8,8,12,1,Lagoon,SB,6/12/20,36.0,2.6,2474.4,176.8,-17.4,2.9
A09,9,9,EB3,"1,2,3",Lagoon,EB,6/12/20,34.5,2.4,2608.0,184.1,-15.5,3.1
A10,10,10,8,1,Lagoon,EB,6/12/20,38.6,2.5,2475.2,163.4,-15.2,3.2
B01,11,11,9,1,Lagoon,SB,6/12/20,42.5,2.6,2581.1,154.9,-14.0,3.1
B02,12,12,EB2,"1,2,3",Lagoon,EB,6/12/20,36.9,2.5,2702.5,184.3,-14.4,2.8
B03,13,13,EB1,"1,2,3",Lagoon,EB,6/12/20,30.7,2.2,2357.9,170.2,-15.3,2.9
B04,14,14,7,1,Lagoon,SB,6/12/20,34.9,2.5,2707.6,196.5,-15.3,2.8
B05,15,15,SB3,"1,2,3",Lagoon,SB,6/12/20,37.7,2.4,2480.1,156.6,-15.4,3.1
B06,16,16,5,1,Lagoon,EB,6/12/20,38.8,2.4,2591.0,156.9,-16.2,3.0
B07,17,17,10,1,Lagoon,SB,6/12/20,36.6,2.5,2366.3,161.4,-16.0,2.4
B08,18,18,4,1,Lagoon,EB,6/12/20,34.5,1.7,2416.9,117.3,-15.5,2.1
B09,19,19,Cemetery,"1,2,3",Cemetery,Cem,6/12/20,35.1,2.1,2584.2,155.3,-13.8,3.1
B10,20,1,Coord,1,North_side,Coord,4/4/21,39.0,3.2,2844.4,236.1,-16.1,2.6
C01,21,2,Coord,2,North_side,Coord,4/4/21,34.6,2.7,2514.8,197.7,-16.6,3.3
C02,22,3,Coord,3,North_side,Coord,4/4/21,37.4,2.9,2830.3,219.0,-16.8,2.7
C03,23,4,Coord,4,North_side,Coord,4/4/21,31.5,2.5,2131.3,172.0,-15.1,3.3
C04,24,5,Coord,5,North_side,Coord,4/4/21,33.9,2.9,2152.5,185.4,-15.7,3.2
C05,25,6,Coord,6,North_side,Coord,4/4/21,35.5,2.9,2429.0,200.7,-15.5,2.9
C06,26,7,Cemetery,1,Cemetery,Cem,4/4/21,32.2,2.8,2499.1,218.1,-13.2,1.5
C07,27,8,Cemetery,2,Cemetery,Cem,4/4/21,34.1,3.1,2434.0,217.9,-13.4,0.8
