YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max,,,,
1985,1,1,23.22,23.57,23.45,0.9771,0,0,0,,,,
1985,1,2,23.3,23.72,23.54,1.061,0.1,0,0,,,,
1985,1,3,23.37,23.82,23.63,1.1094,0.19,0,0,,,,
1985,1,4,23.37,23.81,23.7,1.0684,0.2,0,0,,,,
1985,1,5,23.19,23.75,23.63,0.9558,0.13,0,0,,,,
1985,1,6,23.4,23.93,23.78,1.0974,0.32,0,0,,,,
1985,1,7,23.22,23.68,23.53,0.8055,0.07,0,0,,,,
1985,1,8,22.74,23.13,23,0.2535,0,0,0,,,,
1985,1,9,22.84,23.22,23.14,0.2955,0,0,0,,,,
1985,1,10,22.99,23.56,23.45,0.5229,0,0,0,,,,
1985,1,11,23.4,23.86,23.77,0.8003,0.22,0,0,,,,
1985,1,12,23.64,24.03,23.94,0.9277,0.39,0,0,,,,
1985,1,13,23.75,23.97,23.86,0.9226,0.41,0,0,,,,
1985,1,14,23.5,23.71,23.62,0.6413,0.17,0,0,,,,
1985,1,15,23.77,24.19,24.07,0.99,0.59,0,0,,,,
1985,1,16,23.58,24.12,24.01,0.8971,0.51,0,0,,,,
1985,1,17,23.43,24.01,23.9,0.7742,0.4,0,0,,,,SST_norfolk_island.txt
1985,1,18,23.37,23.9,23.77,0.6513,0.29,0,0,,,,
1985,1,19,23.42,23.96,23.85,0.6984,0.35,0,0,,,,
1985,1,20,23.23,23.78,23.68,0.5155,0.18,0,0,,,,
1985,1,21,24.2,24.88,24.73,1.5726,1.25,0,0,,,,
1985,1,22,24.16,24.82,24.72,1.4897,1.18,0,0,,,,
1985,1,23,24.23,24.83,24.69,1.4668,1.17,0,0,,,,
1985,1,24,24.42,25.28,25.08,1.801,1.51,0,0,,,,
1985,1,25,24.08,24.9,24.67,1.401,1.13,0,0,,,,
1985,1,26,23.9,24.73,24.53,1.2245,0.96,0,0,,,,
1985,1,27,23.93,24.65,24.48,1.1613,0.91,0,0,,,,
1985,1,28,23.93,24.58,24.43,1.0981,0.86,0,0,,,,
1985,1,29,23.75,24.37,24.21,0.8894,0.67,0,0,,,,
1985,1,30,23.55,24.12,23.98,0.6465,0.44,0,0,,,,
1985,1,31,23.73,24.29,24.15,0.8035,0.61,0,0,,,,
1985,2,1,23.85,24.37,24.23,0.8706,0.69,0,0,,,,
1985,2,2,23.77,24.27,24.13,0.7577,0.59,0,0,,,,
1985,2,3,23.88,24.29,24.15,0.7848,0.63,0,0,,,,
1985,2,4,24.21,24.6,24.48,1.1019,0.96,0,0,,,,
1985,2,5,24.4,24.77,24.69,1.2723,1.14,0,0,,,,
1985,2,6,24.21,24.65,24.51,1.1061,0.99,0,0,,,,
1985,2,7,23.69,24.12,23.98,0.5632,0.46,0,0,,,,
1985,2,8,23.24,23.64,23.47,0.0803,0,0,0,,,,
1985,2,9,23.3,23.71,23.5,0.0974,0.02,0,0,,,,
1985,2,10,23.71,24.09,23.86,0.4445,0.38,0,0,,,,
1985,2,11,23.85,24.24,23.97,0.5603,0.51,0,0,,,,
1985,2,12,22.71,23.05,22.86,-0.6013,0,0,0,,,,
1985,2,13,22.79,23.15,22.87,-0.5442,0,0,0,,,,
1985,2,14,22.04,22.42,22.15,-1.2974,0,0,0,,,,
1985,2,15,23.07,23.54,23.38,-0.14,0,0,0,,,,
1985,2,16,23.6,24.02,23.98,0.3961,0.38,0,0,,,,
1985,2,17,23.81,24.17,24.07,0.5607,0.53,0,0,,,,
1985,2,18,23.06,23.32,23.14,-0.2739,0,0,0,,,,
1985,2,19,22.5,22.71,22.65,-0.8157,0,0,0,,,,
1985,2,20,22.34,22.69,22.6,-0.8043,0,0,0,,,,
1985,2,21,22.44,22.77,22.69,-0.7207,0,0,0,,,,
1985,2,22,22.61,22.91,22.82,-0.59,0,0,0,,,,
1985,2,23,22.7,22.97,22.88,-0.5114,0,0,0,,,,
1985,2,24,22.29,22.61,22.39,-0.9118,0,0,0,,,,
1985,2,25,22.67,23.06,22.89,-0.4364,0,0,0,,,,
1985,2,26,23,23.58,23.51,0.1025,0,0,0,,,,
1985,2,27,23.33,23.82,23.71,0.3286,0.14,0,0,,,,
1985,2,28,23.42,23.83,23.74,0.3782,0.16,0,0,,,,
1985,3,1,23.5,23.87,23.79,0.445,0.21,0,0,,,,
1985,3,2,23.21,23.5,23.44,0.1118,0,0,0,,,,
1985,3,3,23.41,23.67,23.45,0.2557,0.01,0,0,,,,
1985,3,4,23.4,23.58,23.44,0.2632,0,0,0,,,,
1985,3,5,23.34,23.48,23.37,0.2093,0,0,0,,,,
1985,3,6,22.74,22.84,22.77,-0.3846,0,0,0,,,,
1985,3,7,22.56,22.67,22.56,-0.5543,0,0,0,,,,
1985,3,8,22.54,22.7,22.55,-0.5475,0,0,0,,,,
1985,3,9,22.74,22.88,22.76,-0.3543,0,0,0,,,,
1985,3,10,22.81,22.92,22.82,-0.2439,0,0,0,,,,
1985,3,11,22.89,23.01,22.9,-0.1471,0,0,0,,,,
1985,3,12,22.66,22.88,22.73,-0.3271,0,0,0,,,,
1985,3,13,22.78,23.02,22.85,-0.1921,0,0,0,,,,
1985,3,14,23.68,23.9,23.79,0.7532,0.3,0,0,,,,
1985,3,15,22.72,22.93,22.85,-0.16,0,0,0,,,,
1985,3,16,22.15,22.31,22.29,-0.7048,0,0,0,,,,
1985,3,17,21.53,21.78,21.68,-1.2897,0,0,0,,,,
1985,3,18,20.96,21.36,21.3,-1.7413,0,0,0,,,,
1985,3,19,21.08,21.58,21.48,-1.5384,0,0,0,,,,
1985,3,20,21.06,21.49,21.4,-1.5955,0,0,0,,,,
1985,3,21,21.14,21.62,21.47,-1.5026,0,0,0,,,,
