Date,Time,Tide_height
2/12/2020,2:44,0.33
2/12/2020,9:12,1.76
2/12/2020,15:21,0.55
2/12/2020,21:13,1.55
3/12/2020,3:16,0.34
3/12/2020,9:48,1.76
3/12/2020,16:00,0.56
3/12/2020,21:49,1.52
4/12/2020,3:52,0.37
4/12/2020,10:27,1.74
4/12/2020,16:40,0.58
4/12/2020,22:29,1.49
5/12/2020,4:30,0.41
5/12/2020,11:09,1.7
5/12/2020,17:25,0.6
5/12/2020,23:12,1.45
6/12/2020,5:15,0.46
6/12/2020,11:56,1.67
6/12/2020,18:15,0.62
7/12/2020,0:02,1.4
7/12/2020,6:05,0.53
7/12/2020,12:50,1.64
7/12/2020,19:11,0.63
8/12/2020,1:05,1.37
8/12/2020,7:06,0.58
8/12/2020,13:49,1.62
8/12/2020,20:12,0.61
9/12/2020,2:19,1.36
9/12/2020,8:16,0.62
9/12/2020,14:51,1.61
9/12/2020,21:16,0.57
10/12/2020,3:35,1.41
10/12/2020,9:30,0.63
10/12/2020,15:51,1.63
10/12/2020,22:19,0.5
11/12/2020,4:45,1.5
11/12/2020,10:39,0.61
11/12/2020,16:49,1.64
11/12/2020,23:16,0.41
12/12/2020,5:45,1.62
12/12/2020,11:42,0.58
12/12/2020,17:45,1.66
13/12/2020,0:09,0.33
13/12/2020,6:39,1.74
13/12/2020,12:40,0.53
13/12/2020,18:39,1.67
14/12/2020,0:57,0.27
14/12/2020,7:29,1.83
14/12/2020,13:34,0.5
14/12/2020,19:30,1.67
15/12/2020,1:43,0.23
15/12/2020,8:15,1.9
15/12/2020,14:26,0.48
15/12/2020,20:20,1.66
16/12/2020,2:29,0.22
16/12/2020,9:02,1.92
16/12/2020,15:16,0.48
16/12/2020,21:08,1.63
17/12/2020,3:13,0.25
17/12/2020,9:48,1.91
17/12/2020,16:04,0.5
17/12/2020,21:55,1.59
18/12/2020,3:57,0.3
18/12/2020,10:34,1.86
18/12/2020,16:52,0.53
18/12/2020,22:40,1.54
19/12/2020,4:40,0.38
19/12/2020,11:19,1.79
19/12/2020,17:38,0.57
19/12/2020,23:25,1.48
20/12/2020,5:25,0.47
20/12/2020,12:05,1.71
20/12/2020,18:25,0.61
21/12/2020,0:13,1.43
21/12/2020,6:14,0.57
21/12/2020,12:52,1.64
21/12/2020,19:14,0.64
22/12/2020,1:07,1.36
22/12/2020,7:07,0.66
22/12/2020,13:43,1.57
22/12/2020,20:06,0.65
23/12/2020,8:24,1.35
23/12/2020,17:31,0.73
23/12/2020,12:14,1.51
23/12/2020,15:36,0.65
24/12/2020,3:28,1.35
24/12/2020,9:17,0.78
24/12/2020,15:32,1.48
24/12/2020,22:02,0.63
25/12/2020,4:37,1.4
25/12/2020,10:26,0.79
25/12/2020,16:30,1.47
25/12/2020,22:59,0.59
26/12/2020,5:35,1.48
26/12/2020,11:27,0.77
26/12/2020,17:23,1.47
26/12/2020,23:48,0.54
27/12/2020,6:23,1.56
27/12/2020,12:19,0.74
27/12/2020,18:12,1.49
28/12/2020,0:32,0.49
28/12/2020,7:04,1.64
28/12/2020,13:05,0.69
28/12/2020,18:57,1.51
29/12/2020,1:12,0.44
29/12/2020,7:43,1.71
29/12/2020,13:47,0.65
29/12/2020,19:38,1.54
30/12/2020,1:49,0.4
30/12/2020,8:19,1.76
30/12/2020,14:28,0.61
30/12/2020,20:18,1.56
31/12/2020,2:25,0.36
31/12/2020,8:56,1.8
31/12/2020,15:06,0.58
31/12/2020,20:58,1.58
1/1/2021,3:01,0.35
1/1/2021,9:34,1.83
1/1/2021,15:46,0.57
1/1/2021,21:37,1.59
2/1/2021,3:40,0.35
2/1/2021,10:13,1.84
2/1/2021,16:28,0.55
2/1/2021,22:18,1.58
3/1/2021,4:20,0.37
3/1/2021,10:54,1.83
3/1/2021,17:11,0.55
3/1/2021,23:01,1.56
4/1/2021,5:03,0.42
4/1/2021,11:37,1.8
4/1/2021,17:57,0.55
4/1/2021,23:49,1.53
5/1/2021,5:50,0.48
5/1/2021,12:24,1.76
5/1/2021,18:45,0.55
6/1/2021,0:45,1.5
6/1/2021,6:44,0.56
6/1/2021,13:15,1.72
6/1/2021,19:39,0.55
7/1/2021,1:48,1.47
7/1/2021,7:45,0.64
7/1/2021,14:12,1.66
7/1/2021,20:36,0.54
8/1/2021,3:00,1.48
8/1/2021,8:57,0.7
8/1/2021,15:12,1.61
8/1/2021,21:39,0.53
9/1/2021,4:15,1.53
9/1/2021,10:13,0.73
9/1/2021,16:15,1.58
9/1/2021,22:44,0.49
10/1/2021,5:25,1.62
10/1/2021,11:25,0.71
10/1/2021,17:21,1.56
10/1/2021,23:45,0.44
11/1/2021,6:26,1.72
11/1/2021,12:30,0.67
11/1/2021,18:23,1.57
12/1/2021,0:41,0.39
12/1/2021,7:18,1.81
12/1/2021,13:27,0.61
12/1/2021,19:19,1.6
13/1/2021,1:30,0.34
13/1/2021,8:06,1.88
13/1/2021,14:18,0.57
13/1/2021,20:10,1.63
14/1/2021,2:17,0.31
14/1/2021,8:51,1.91
14/1/2021,15:04,0.54
14/1/2021,20:57,1.64
15/1/2021,3:00,0.31
15/1/2021,9:33,1.92
15/1/2021,15:48,0.52
15/1/2021,21:40,1.64
16/1/2021,3:42,0.33
16/1/2021,10:14,1.89
16/1/2021,16:30,0.52
16/1/2021,22:21,1.62
17/1/2021,4:22,0.39
17/1/2021,10:52,1.84
17/1/2021,17:10,0.54
17/1/2021,23:00,1.59
18/1/2021,5:01,0.46
18/1/2021,11:30,1.78
18/1/2021,17:49,0.56
18/1/2021,23:41,1.54
19/1/2021,5:42,0.55
19/1/2021,12:08,1.7
19/1/2021,18:30,0.59
20/1/2021,0:25,1.49
20/1/2021,6:26,0.65
20/1/2021,12:47,1.63
20/1/2021,19:13,0.62
21/1/2021,1:16,1.44
21/1/2021,7:15,0.74
21/1/2021,13:32,1.55
21/1/2021,20:01,0.65
22/1/2021,2:20,1.4
22/1/2021,8:16,0.82
22/1/2021,14:25,1.48
22/1/2021,20:57,0.67
23/1/2021,3:36,1.4
23/1/2021,9:28,0.87
23/1/2021,15:28,1.43
23/1/2021,21:59,0.67
24/1/2021,4:49,1.44
24/1/2021,10:42,0.87
24/1/2021,16:34,1.41
24/1/2021,23:02,0.64
25/1/2021,5:49,1.52
25/1/2021,11:47,0.84
25/1/2021,17:37,1.43
25/1/2021,23:59,0.59
26/1/2021,6:39,1.6
26/1/2021,12:42,0.78
26/1/2021,18:30,1.47
27/1/2021,0:46,0.52
27/1/2021,7:22,1.69
27/1/2021,13:28,0.71
27/1/2021,19:18,1.53
28/1/2021,1:29,0.45
28/1/2021,8:00,1.78
28/1/2021,14:49,0.63
28/1/2021,20:01,1.59
29/1/2021,2:08,0.38
29/1/2021,8:39,1.85
29/1/2021,14:49,0.57
29/1/2021,20:43,1.64
30/1/2021,2:47,0.34
30/1/2021,9:16,1.9
30/1/2021,15:29,0.51
30/1/2021,21:23,1.68
31/1/2021,3:27,0.31
31/1/2021,9:54,1.93
31/1/2021,16:09,0.47
31/1/2021,22:04,1.7
1/2/2021,4:07,0.33
1/2/2021,10:33,1.93
1/2/2021,16:50,0.45
1/2/2021,22:47,1.69
2/2/2021,4:49,0.37
2/2/2021,11:14,1.89
2/2/2021,17:33,0.44
2/2/2021,23:33,1.67
3/2/2021,5:34,0.45
3/2/2021,11:57,1.83
3/2/2021,18:17,0.46
4/2/2021,0:23,1.62
4/2/2021,6:23,0.55
4/2/2021,12:43,1.74
4/2/2021,19:04,0.49
5/2/2021,1:20,1.58
5/2/2021,7:20,0.66
5/2/2021,13:35,1.64
5/2/2021,19:59,0.54
6/2/2021,2:30,1.54
6/2/2021,8:30,0.76
6/2/2021,14:37,1.54
6/2/2021,21:02,0.57
7/2/2021,3:49,1.54
7/2/2021,9:54,0.81
7/2/2021,15:50,1.48
7/2/2021,22:15,0.58
8/2/2021,5:10,1.59
8/2/2021,11:16,0.79
8/2/2021,17:08,1.47
8/2/2021,23:29,0.55
9/2/2021,6:16,1.68
9/2/2021,12:25,0.73
9/2/2021,18:16,1.5
10/2/2021,0:31,0.49
10/2/2021,7:11,1.77
10/2/2021,13:20,0.66
10/2/2021,19:13,1.56
11/2/2021,1:23,0.42
11/2/2021,7:56,1.84
11/2/2021,14:07,0.59
11/2/2021,20:00,1.62
12/2/2021,2:07,0.37
12/2/2021,8:36,1.88
12/2/2021,14:47,0.53
12/2/2021,20:44,1.67
13/2/2021,2:47,0.35
13/2/2021,9:14,1.9
13/2/2021,15:26,0.5
13/2/2021,21:22,1.69
14/2/2021,3:25,0.36
14/2/2021,9:48,1.88
14/2/2021,16:01,0.48
14/2/2021,22:00,1.7
15/2/2021,4:01,0.4
15/2/2021,10:21,1.85
15/2/2021,16:36,0.48
15/2/2021,22:35,1.68
