Date,Site,#,Coliform,NH4,Nox
2/9/20,SB,1,2,125.00,64.70
2/9/20,SB,3,2,37.20,69.62
2/9/20,SB,4,2,116.35,54.75
2/9/20,SB,5,2,41.85,77.88
2/9/20,SB,6,<1,132.00,8.60
2/9/20,SB,8,<1,34.60,67.55
2/9/20,SB,9,<1,550.50,41.80
2/9/20,EB,1,600,37.90,65.10
2/9/20,EB,2,600,38.60,44.33
2/9/20,EB,3,200,39.15,64.00
2/9/20,EB,4,100,202.50,59.05
2/9/20,EB,5,100,51.15,58.00
2/9/20,EB,6,100,191.00,61.15
2/9/20,EB,7,100,31.65,61.90
15/11/20,SB,1,200,68.20,76.88
15/11/20,SB,3,100,85.35,62.50
15/11/20,SB,4,100,35.15,64.79
15/11/20,SB,5,NA,78.70,66.80
15/11/20,SB,6,NA,43.25,67.40
15/11/20,SB,8,NA,49.90,63.65
15/11/20,SB,9,NA,53.40,59.35
15/11/20,EB,1,1100,47.40,57.65
15/11/20,EB,2,400,48.35,60.30
15/11/20,EB,3,200,40.45,65.00
15/11/20,EB,4,200,44.35,37.80
15/11/20,EB,5,NA,50.10,61.75
15/11/20,EB,6,NA,47.20,434.50
15/11/20,EB,7,NA,196.00,31.55
10/12/20,SB,1,NA,1.15,53.65
10/12/20,SB,2,NA,4.35,81.45
10/12/20,SB,3,NA,8.07,34.25
10/12/20,SB,4,NA,3.60,67.85
10/12/20,SB,5,NA,43.90,86.15
10/12/20,EB,1,NA,0.85,54.55
10/12/20,EB,2,NA,1.75,47.40
10/12/20,EB,3,NA,29.80,62.15
10/12/20,CB,1,NA,2.80,21.25
10/12/20,CB,2,NA,6.00,23.00
10/12/20,Stream,1,NA,37.85,21.25
10/12/20,Stream,2,NA,157.50,23.00
9/4/21,SB,1,NA,0.30,34.75
9/4/21,SB,2,NA,6.60,28.65
9/4/21,SB,3,NA,11.57,55.95
9/4/21,SB,4,NA,17.39,26.65
9/4/21,SB,5,NA,45.10,37.65
9/4/21,EB,1,NA,70.95,41.65
9/4/21,EB,2,NA,0.05,41.80
9/4/21,EB,3,NA,2.45,26.55
9/4/21,CB,1,NA,2.09,17.56
9/4/21,CB,2,NA,5.46,14.45
9/4/21,North Side,1,NA,1.80,0.05
9/4/21,North Side,2,NA,1.95,4.30
